Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,No
1,Chelsea,22,18,1,3,71,18,53,55,3,58,20,38,2,"9,291.00",Lauren James - 13,Hannah Hampton
2,Manchester City,22,18,1,3,61,15,46,55,3,47,19,28,1,"7,400.00",Khadija Shaw - 21,Khiara Keating
3,Arsenal,22,16,2,4,53,20,33,50,2,53,18,35,2,"29,999.00",Alessia Russo - 12,Manuela Zinsberger
4,Liverpool,22,12,5,5,36,28,8,41,2,26,27,-1,0,"4,550.00",Sophie Román Haug - 7,Rachael Laws
5,Manchester Utd,22,10,5,7,42,32,10,35,2,35,28,7,0,"10,957.00",Nikita Parris - 8,Mary Earps
6,Tottenham,22,8,7,7,31,36,-5,31,1,28,31,-4,0,"4,317.00",Martha Thomas - 7,Rebecca Spencer
7,Aston Villa,22,7,3,12,27,43,-16,24,1,25,38,-14,-1,"5,100.00",Rachel Daly - 8,Daphne van Domselaar
8,Everton,22,6,5,11,24,37,-13,23,1,21,36,-16,-1,"2,071.00","Aurora Galli, Martina Piemonte... - 3",Courtney Brosnan
9,Brighton,22,5,4,13,26,48,-22,19,1,21,40,-19,-1,"3,553.00",Elisabeth Terland - 13,Sophie Baggaley
10,Leicester City,22,4,6,12,26,45,-19,18,1,24,41,-17,-1,"2,666.00",Jutta Rantala - 6,Janina Leitzig
11,West Ham,22,3,6,13,20,45,-25,15,1,23,30,-8,0,"1,892.00","Riko Ueki, Viviane Asseyi - 6",Mackenzie Arnold
12,Bristol City,22,1,3,18,20,70,-50,6,0,16,46,-29,-1,"6,974.00",Amalie Thestrup - 9,Shae Yanez,Relegat
